"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 02 ending January 15, 2022"	"2022/02"	18	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 03 ending January 22, 2022"	"2022/03"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 04 ending January 29, 2022"	"2022/04"	13	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 05 ending February 05, 2022"	"2022/05"	18	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 06 ending February 12, 2022"	"2022/06"	11	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 07 ending February 19, 2022"	"2022/07"	18	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 08 ending February 26, 2022"	"2022/08"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 09 ending March 05, 2022"	"2022/09"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 10 ending March 12, 2022"	"2022/10"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 11 ending March 19, 2022"	"2022/11"	16	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 12 ending March 26, 2022"	"2022/12"	12	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 13 ending April 02, 2022"	"2022/13"	17	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 14 ending April 09, 2022"	"2022/14"	15	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 15 ending April 16, 2022"	"2022/15"	22	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 16 ending April 23, 2022"	"2022/16"	10	Not Applicable	Not Applicable
	"North Carolina"	"37"	"20-24 years"	"20-24"	"2022 Week 17 ending April 30, 2022"	"2022/17"	21	Not Applicable	Not Applicable
