Residence State,Five-Year Age Groups,Five-Year Age Groups Code,MMWR Week Code,Deaths
Pennsylvania,< 1 year,1,2024/29,16
Pennsylvania,< 1 year,1,2024/30,19
Pennsylvania,< 1 year,1,2024/31,13
Pennsylvania,< 1 year,1,2024/32,12
Pennsylvania,< 1 year,1,2024/33,13
Pennsylvania,< 1 year,1,2024/34,11
Pennsylvania,< 1 year,1,2024/35,13
Pennsylvania,< 1 year,1,2024/36,12
Pennsylvania,< 1 year,1,2024/37,24
Pennsylvania,< 1 year,1,2024/38,15
Pennsylvania,< 1 year,1,2024/39,22
Pennsylvania,< 1 year,1,2024/40,10
Pennsylvania,< 1 year,1,2024/41,13
Pennsylvania,< 1 year,1,2024/42,12
Pennsylvania,< 1 year,1,2024/43,12
Pennsylvania,< 1 year,1,2024/45,13
Pennsylvania,< 1 year,1,2024/46,15
Pennsylvania,< 1 year,1,2024/47,10
Pennsylvania,< 1 year,1,2024/48,12
Pennsylvania,15-19 years,15-19,2024/14,10
Pennsylvania,15-19 years,15-19,2024/20,14
Pennsylvania,15-19 years,15-19,2024/25,11
Pennsylvania,15-19 years,15-19,2024/29,11
Pennsylvania,15-19 years,15-19,2024/33,11
Pennsylvania,20-24 years,20-24,2024/05,11
Pennsylvania,20-24 years,20-24,2024/07,10
Pennsylvania,20-24 years,20-24,2024/10,15
Pennsylvania,20-24 years,20-24,2024/11,10
Pennsylvania,20-24 years,20-24,2024/12,13
Pennsylvania,20-24 years,20-24,2024/14,13
Pennsylvania,20-24 years,20-24,2024/15,16
Pennsylvania,20-24 years,20-24,2024/16,15
Pennsylvania,20-24 years,20-24,2024/17,10
Pennsylvania,20-24 years,20-24,2024/18,12
Pennsylvania,20-24 years,20-24,2024/21,15
Pennsylvania,20-24 years,20-24,2024/22,16
Pennsylvania,20-24 years,20-24,2024/26,10
Pennsylvania,20-24 years,20-24,2024/27,12
Pennsylvania,20-24 years,20-24,2024/30,16
Pennsylvania,20-24 years,20-24,2024/31,13
Pennsylvania,20-24 years,20-24,2024/32,11
Pennsylvania,20-24 years,20-24,2024/33,15
Pennsylvania,20-24 years,20-24,2024/34,14
Pennsylvania,20-24 years,20-24,2024/35,12
Pennsylvania,20-24 years,20-24,2024/36,18
Pennsylvania,20-24 years,20-24,2024/38,12
Pennsylvania,20-24 years,20-24,2024/41,10
Pennsylvania,20-24 years,20-24,2024/45,12
Pennsylvania,25-29 years,25-29,2024/01,23
Pennsylvania,25-29 years,25-29,2024/02,24
Pennsylvania,25-29 years,25-29,2024/03,13
Pennsylvania,25-29 years,25-29,2024/04,11
Pennsylvania,25-29 years,25-29,2024/05,14
Pennsylvania,25-29 years,25-29,2024/06,20
Pennsylvania,25-29 years,25-29,2024/08,12
Pennsylvania,25-29 years,25-29,2024/09,17
Pennsylvania,25-29 years,25-29,2024/10,17
Pennsylvania,25-29 years,25-29,2024/11,14
Pennsylvania,25-29 years,25-29,2024/12,13
Pennsylvania,25-29 years,25-29,2024/13,14
Pennsylvania,25-29 years,25-29,2024/14,15
Pennsylvania,25-29 years,25-29,2024/15,20
Pennsylvania,25-29 years,25-29,2024/16,16
Pennsylvania,25-29 years,25-29,2024/17,10
Pennsylvania,25-29 years,25-29,2024/18,13
Pennsylvania,25-29 years,25-29,2024/19,12
Pennsylvania,25-29 years,25-29,2024/20,13
Pennsylvania,25-29 years,25-29,2024/21,12
Pennsylvania,25-29 years,25-29,2024/22,18
Pennsylvania,25-29 years,25-29,2024/23,21
Pennsylvania,25-29 years,25-29,2024/25,21
Pennsylvania,25-29 years,25-29,2024/26,15
Pennsylvania,25-29 years,25-29,2024/27,20
Pennsylvania,25-29 years,25-29,2024/28,13
Pennsylvania,25-29 years,25-29,2024/29,16
Pennsylvania,25-29 years,25-29,2024/30,19
Pennsylvania,25-29 years,25-29,2024/31,11
Pennsylvania,25-29 years,25-29,2024/32,19
Pennsylvania,25-29 years,25-29,2024/33,15
Pennsylvania,25-29 years,25-29,2024/34,16
Pennsylvania,25-29 years,25-29,2024/35,18
Pennsylvania,25-29 years,25-29,2024/36,18
Pennsylvania,25-29 years,25-29,2024/37,17
Pennsylvania,25-29 years,25-29,2024/38,15
Pennsylvania,25-29 years,25-29,2024/39,14
Pennsylvania,25-29 years,25-29,2024/40,14
Pennsylvania,25-29 years,25-29,2024/41,10
Pennsylvania,25-29 years,25-29,2024/42,11
Pennsylvania,25-29 years,25-29,2024/45,15
Pennsylvania,25-29 years,25-29,2024/46,11
Pennsylvania,25-29 years,25-29,2024/47,13
Pennsylvania,25-29 years,25-29,2024/48,14
Pennsylvania,30-34 years,30-34,2024/02,22
Pennsylvania,30-34 years,30-34,2024/03,23
Pennsylvania,30-34 years,30-34,2024/04,17
Pennsylvania,30-34 years,30-34,2024/05,24
Pennsylvania,30-34 years,30-34,2024/06,28
Pennsylvania,30-34 years,30-34,2024/07,31
Pennsylvania,30-34 years,30-34,2024/08,21
Pennsylvania,30-34 years,30-34,2024/09,24
Pennsylvania,30-34 years,30-34,2024/10,35
Pennsylvania,30-34 years,30-34,2024/11,14
Pennsylvania,30-34 years,30-34,2024/12,14
Pennsylvania,30-34 years,30-34,2024/13,25
Pennsylvania,30-34 years,30-34,2024/14,21
Pennsylvania,30-34 years,30-34,2024/15,24
Pennsylvania,30-34 years,30-34,2024/16,18
Pennsylvania,30-34 years,30-34,2024/17,24
Pennsylvania,30-34 years,30-34,2024/18,24
Pennsylvania,30-34 years,30-34,2024/19,23
Pennsylvania,30-34 years,30-34,2024/20,29
Pennsylvania,30-34 years,30-34,2024/21,22
Pennsylvania,30-34 years,30-34,2024/22,16
Pennsylvania,30-34 years,30-34,2024/23,27
Pennsylvania,30-34 years,30-34,2024/24,21
Pennsylvania,30-34 years,30-34,2024/25,24
Pennsylvania,30-34 years,30-34,2024/26,19
Pennsylvania,30-34 years,30-34,2024/27,25
Pennsylvania,30-34 years,30-34,2024/28,19
Pennsylvania,30-34 years,30-34,2024/29,19
Pennsylvania,30-34 years,30-34,2024/30,22
Pennsylvania,30-34 years,30-34,2024/31,21
Pennsylvania,30-34 years,30-34,2024/32,20
Pennsylvania,30-34 years,30-34,2024/33,33
Pennsylvania,30-34 years,30-34,2024/34,28
Pennsylvania,30-34 years,30-34,2024/35,18
Pennsylvania,30-34 years,30-34,2024/36,24
Pennsylvania,30-34 years,30-34,2024/37,23
Pennsylvania,30-34 years,30-34,2024/38,17
Pennsylvania,30-34 years,30-34,2024/39,24
Pennsylvania,30-34 years,30-34,2024/40,23
Pennsylvania,30-34 years,30-34,2024/41,19
Pennsylvania,30-34 years,30-34,2024/42,22
Pennsylvania,30-34 years,30-34,2024/43,15
Pennsylvania,30-34 years,30-34,2024/44,28
Pennsylvania,30-34 years,30-34,2024/45,15
Pennsylvania,30-34 years,30-34,2024/46,16
Pennsylvania,30-34 years,30-34,2024/47,12
Pennsylvania,30-34 years,30-34,2024/49,15
Pennsylvania,35-39 years,35-39,2024/01,33
Pennsylvania,35-39 years,35-39,2024/02,30
Pennsylvania,35-39 years,35-39,2024/03,34
Pennsylvania,35-39 years,35-39,2024/04,29
Pennsylvania,35-39 years,35-39,2024/05,21
Pennsylvania,35-39 years,35-39,2024/06,29
Pennsylvania,35-39 years,35-39,2024/07,29
Pennsylvania,35-39 years,35-39,2024/08,31
Pennsylvania,35-39 years,35-39,2024/09,31
Pennsylvania,35-39 years,35-39,2024/10,26
Pennsylvania,35-39 years,35-39,2024/11,42
Pennsylvania,35-39 years,35-39,2024/12,16
Pennsylvania,35-39 years,35-39,2024/13,32
Pennsylvania,35-39 years,35-39,2024/14,24
Pennsylvania,35-39 years,35-39,2024/15,43
Pennsylvania,35-39 years,35-39,2024/16,23
Pennsylvania,35-39 years,35-39,2024/17,33
Pennsylvania,35-39 years,35-39,2024/18,35
Pennsylvania,35-39 years,35-39,2024/19,26
Pennsylvania,35-39 years,35-39,2024/20,17
Pennsylvania,35-39 years,35-39,2024/21,39
Pennsylvania,35-39 years,35-39,2024/22,25
Pennsylvania,35-39 years,35-39,2024/23,28
Pennsylvania,35-39 years,35-39,2024/24,33
Pennsylvania,35-39 years,35-39,2024/25,33
Pennsylvania,35-39 years,35-39,2024/26,25
Pennsylvania,35-39 years,35-39,2024/27,28
Pennsylvania,35-39 years,35-39,2024/28,42
Pennsylvania,35-39 years,35-39,2024/29,27
Pennsylvania,35-39 years,35-39,2024/30,25
Pennsylvania,35-39 years,35-39,2024/31,29
Pennsylvania,35-39 years,35-39,2024/32,27
Pennsylvania,35-39 years,35-39,2024/33,26
Pennsylvania,35-39 years,35-39,2024/34,26
Pennsylvania,35-39 years,35-39,2024/35,24
Pennsylvania,35-39 years,35-39,2024/36,27
Pennsylvania,35-39 years,35-39,2024/37,38
Pennsylvania,35-39 years,35-39,2024/38,25
Pennsylvania,35-39 years,35-39,2024/39,21
Pennsylvania,35-39 years,35-39,2024/40,26
Pennsylvania,35-39 years,35-39,2024/41,35
Pennsylvania,35-39 years,35-39,2024/42,23
Pennsylvania,35-39 years,35-39,2024/43,28
Pennsylvania,35-39 years,35-39,2024/44,25
Pennsylvania,35-39 years,35-39,2024/45,38
Pennsylvania,35-39 years,35-39,2024/46,19
Pennsylvania,35-39 years,35-39,2024/47,20
Pennsylvania,35-39 years,35-39,2024/48,24
Pennsylvania,35-39 years,35-39,2024/49,14
Pennsylvania,35-39 years,35-39,2024/50,13
Pennsylvania,40-44 years,40-44,2024/01,39
Pennsylvania,40-44 years,40-44,2024/02,50
Pennsylvania,40-44 years,40-44,2024/03,51
Pennsylvania,40-44 years,40-44,2024/04,54
Pennsylvania,40-44 years,40-44,2024/05,28
Pennsylvania,40-44 years,40-44,2024/06,43
Pennsylvania,40-44 years,40-44,2024/07,38
Pennsylvania,40-44 years,40-44,2024/08,33
Pennsylvania,40-44 years,40-44,2024/09,30
Pennsylvania,40-44 years,40-44,2024/10,37
Pennsylvania,40-44 years,40-44,2024/11,37
Pennsylvania,40-44 years,40-44,2024/12,34
Pennsylvania,40-44 years,40-44,2024/13,41
Pennsylvania,40-44 years,40-44,2024/14,39
Pennsylvania,40-44 years,40-44,2024/15,43
Pennsylvania,40-44 years,40-44,2024/16,39
Pennsylvania,40-44 years,40-44,2024/17,25
Pennsylvania,40-44 years,40-44,2024/18,38
Pennsylvania,40-44 years,40-44,2024/19,36
Pennsylvania,40-44 years,40-44,2024/20,33
Pennsylvania,40-44 years,40-44,2024/21,48
Pennsylvania,40-44 years,40-44,2024/22,39
Pennsylvania,40-44 years,40-44,2024/23,49
Pennsylvania,40-44 years,40-44,2024/24,38
Pennsylvania,40-44 years,40-44,2024/25,34
Pennsylvania,40-44 years,40-44,2024/26,36
Pennsylvania,40-44 years,40-44,2024/27,48
Pennsylvania,40-44 years,40-44,2024/28,36
Pennsylvania,40-44 years,40-44,2024/29,37
Pennsylvania,40-44 years,40-44,2024/30,44
Pennsylvania,40-44 years,40-44,2024/31,35
Pennsylvania,40-44 years,40-44,2024/32,36
Pennsylvania,40-44 years,40-44,2024/33,35
Pennsylvania,40-44 years,40-44,2024/34,36
Pennsylvania,40-44 years,40-44,2024/35,28
Pennsylvania,40-44 years,40-44,2024/36,35
Pennsylvania,40-44 years,40-44,2024/37,22
Pennsylvania,40-44 years,40-44,2024/38,39
Pennsylvania,40-44 years,40-44,2024/39,30
Pennsylvania,40-44 years,40-44,2024/40,35
Pennsylvania,40-44 years,40-44,2024/41,31
Pennsylvania,40-44 years,40-44,2024/42,34
Pennsylvania,40-44 years,40-44,2024/43,35
Pennsylvania,40-44 years,40-44,2024/44,36
Pennsylvania,40-44 years,40-44,2024/45,48
Pennsylvania,40-44 years,40-44,2024/46,33
Pennsylvania,40-44 years,40-44,2024/47,32
Pennsylvania,40-44 years,40-44,2024/48,26
Pennsylvania,40-44 years,40-44,2024/49,18
Pennsylvania,40-44 years,40-44,2024/50,15
Pennsylvania,45-49 years,45-49,2024/01,52
Pennsylvania,45-49 years,45-49,2024/02,55
Pennsylvania,45-49 years,45-49,2024/03,51
