MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2018 Week 06 ending February 10, 2018",2018/06,20-24 years,20-24,378,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,25-29 years,25-29,504,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,30-34 years,30-34,626,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,35-39 years,35-39,713,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,40-44 years,40-44,852,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,45-49 years,45-49,1323,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,50-54 years,50-54,2056,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,55-59 years,55-59,3457,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,60-64 years ,60-64,4434,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,65-69 years,65-69,5355,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,70-74 years,70-74,6115,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,75-79 years,75-79,7018,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,80-84 years,80-84,7762,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,85-89 years,85-89,8601,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,90-94 years,90-94,7163,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,95-99 years,95-99,3319,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,100+ years,100+,635,Not Applicable,Not Applicable
"2018 Week 06 ending February 10, 2018",2018/06,Not Stated,NS,0,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,< 1 year,1,442,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,1-4 years,1-4,66,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,5-9 years,5-9,49,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,10-14 years,10-14,71,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,15-19 years,15-19,199,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,20-24 years,20-24,337,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,25-29 years,25-29,492,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,30-34 years,30-34,568,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,35-39 years,35-39,721,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,40-44 years,40-44,848,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,45-49 years,45-49,1345,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,50-54 years,50-54,2068,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,55-59 years,55-59,3209,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,60-64 years ,60-64,4369,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,65-69 years,65-69,5212,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,70-74 years,70-74,6117,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,75-79 years,75-79,6659,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,80-84 years,80-84,7616,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,85-89 years,85-89,8525,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,90-94 years,90-94,6931,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,95-99 years,95-99,3269,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,100+ years,100+,665,Not Applicable,Not Applicable
"2018 Week 07 ending February 17, 2018",2018/07,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,< 1 year,1,408,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,1-4 years,1-4,77,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,5-9 years,5-9,54,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,10-14 years,10-14,66,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,15-19 years,15-19,202,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,20-24 years,20-24,340,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,25-29 years,25-29,505,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,30-34 years,30-34,604,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,35-39 years,35-39,712,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,40-44 years,40-44,807,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,45-49 years,45-49,1258,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,50-54 years,50-54,1936,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,55-59 years,55-59,3313,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,60-64 years ,60-64,4124,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,65-69 years,65-69,5008,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,70-74 years,70-74,5963,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,75-79 years,75-79,6497,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,80-84 years,80-84,7235,Not Applicable,Not Applicable
"2018 Week 08 ending February 24, 2018",2018/08,85-89 years,85-89,8083,Not Applicable,Not Applicable
