MMWR Week,MMWR Week Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
"2024 Week 15 ending April 13, 2024 (provisional)",2024/15,75-79 years,75-79,7583,Not Applicable,Not Applicable
"2024 Week 15 ending April 13, 2024 (provisional)",2024/15,80-84 years,80-84,8141,Not Applicable,Not Applicable
"2024 Week 15 ending April 13, 2024 (provisional)",2024/15,85-89 years,85-89,7645,Not Applicable,Not Applicable
"2024 Week 15 ending April 13, 2024 (provisional)",2024/15,90-94 years,90-94,5990,Not Applicable,Not Applicable
"2024 Week 15 ending April 13, 2024 (provisional)",2024/15,95-99 years,95-99,2901,Not Applicable,Not Applicable
"2024 Week 15 ending April 13, 2024 (provisional)",2024/15,100+ years,100+,625,Not Applicable,Not Applicable
"2024 Week 15 ending April 13, 2024 (provisional)",2024/15,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,< 1 year,1,384,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,1-4 years,1-4,73,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,5-9 years,5-9,44,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,10-14 years,10-14,60,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,15-19 years,15-19,215,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,20-24 years,20-24,372,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,25-29 years,25-29,492,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,30-34 years,30-34,690,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,35-39 years,35-39,822,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,40-44 years,40-44,1030,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,45-49 years,45-49,1179,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,50-54 years,50-54,1840,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,55-59 years,55-59,2587,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,60-64 years ,60-64,4083,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,65-69 years,65-69,5429,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,70-74 years,70-74,6266,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,75-79 years,75-79,7464,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,80-84 years,80-84,7888,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,85-89 years,85-89,7419,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,90-94 years,90-94,5836,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,95-99 years,95-99,2841,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,100+ years,100+,684,Not Applicable,Not Applicable
"2024 Week 16 ending April 20, 2024 (provisional)",2024/16,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,< 1 year,1,353,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,1-4 years,1-4,74,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,5-9 years,5-9,40,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,10-14 years,10-14,69,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,15-19 years,15-19,222,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,20-24 years,20-24,336,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,25-29 years,25-29,455,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,30-34 years,30-34,673,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,35-39 years,35-39,794,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,40-44 years,40-44,1007,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,45-49 years,45-49,1203,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,50-54 years,50-54,1805,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,55-59 years,55-59,2510,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,60-64 years ,60-64,4164,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,65-69 years,65-69,5398,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,70-74 years,70-74,6231,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,75-79 years,75-79,7474,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,80-84 years,80-84,7824,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,85-89 years,85-89,7436,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,90-94 years,90-94,5753,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,95-99 years,95-99,2761,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,100+ years,100+,662,Not Applicable,Not Applicable
"2024 Week 17 ending April 27, 2024 (provisional)",2024/17,Not Stated,NS,0,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,< 1 year,1,366,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,1-4 years,1-4,67,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,5-9 years,5-9,33,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,10-14 years,10-14,59,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,15-19 years,15-19,171,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,20-24 years,20-24,363,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,25-29 years,25-29,499,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,30-34 years,30-34,710,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,35-39 years,35-39,904,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,40-44 years,40-44,1061,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,45-49 years,45-49,1244,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,50-54 years,50-54,1751,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,55-59 years,55-59,2497,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,60-64 years ,60-64,4114,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,65-69 years,65-69,5403,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,70-74 years,70-74,6366,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,75-79 years,75-79,7351,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,80-84 years,80-84,7687,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,85-89 years,85-89,7256,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,90-94 years,90-94,5676,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,95-99 years,95-99,2778,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,100+ years,100+,614,Not Applicable,Not Applicable
"2024 Week 18 ending May 04, 2024 (provisional)",2024/18,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,< 1 year,1,375,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,1-4 years,1-4,78,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,5-9 years,5-9,35,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,10-14 years,10-14,64,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,15-19 years,15-19,210,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,20-24 years,20-24,400,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,25-29 years,25-29,425,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,30-34 years,30-34,670,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,35-39 years,35-39,862,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,40-44 years,40-44,1049,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,45-49 years,45-49,1218,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,50-54 years,50-54,1716,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,55-59 years,55-59,2723,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,60-64 years ,60-64,4162,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,65-69 years,65-69,5319,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,70-74 years,70-74,6276,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,75-79 years,75-79,7430,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,80-84 years,80-84,7695,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,85-89 years,85-89,7235,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,90-94 years,90-94,5554,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,95-99 years,95-99,2654,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,100+ years,100+,619,Not Applicable,Not Applicable
"2024 Week 19 ending May 11, 2024 (provisional)",2024/19,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,< 1 year,1,416,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,1-4 years,1-4,76,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,5-9 years,5-9,50,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,10-14 years,10-14,51,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,15-19 years,15-19,233,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,20-24 years,20-24,373,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,25-29 years,25-29,453,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,30-34 years,30-34,658,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,35-39 years,35-39,826,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,40-44 years,40-44,986,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,45-49 years,45-49,1170,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,50-54 years,50-54,1750,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,55-59 years,55-59,2637,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,60-64 years ,60-64,4016,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,65-69 years,65-69,5277,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,70-74 years,70-74,6425,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,75-79 years,75-79,7318,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,80-84 years,80-84,7667,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,85-89 years,85-89,7202,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,90-94 years,90-94,5593,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,95-99 years,95-99,2665,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,100+ years,100+,618,Not Applicable,Not Applicable
"2024 Week 20 ending May 18, 2024 (provisional)",2024/20,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,< 1 year,1,390,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,1-4 years,1-4,90,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,5-9 years,5-9,56,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,10-14 years,10-14,89,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,15-19 years,15-19,234,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,20-24 years,20-24,359,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,25-29 years,25-29,441,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,30-34 years,30-34,664,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,35-39 years,35-39,903,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,40-44 years,40-44,990,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,45-49 years,45-49,1245,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,50-54 years,50-54,1695,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,55-59 years,55-59,2578,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,60-64 years ,60-64,4061,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,65-69 years,65-69,5296,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,70-74 years,70-74,6139,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,75-79 years,75-79,7336,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,80-84 years,80-84,7710,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,85-89 years,85-89,7230,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,90-94 years,90-94,5561,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,95-99 years,95-99,2675,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,100+ years,100+,594,Not Applicable,Not Applicable
"2024 Week 21 ending May 25, 2024 (provisional)",2024/21,Not Stated,NS,0,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,< 1 year,1,378,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,1-4 years,1-4,91,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,5-9 years,5-9,54,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,10-14 years,10-14,59,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,15-19 years,15-19,233,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,20-24 years,20-24,378,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,25-29 years,25-29,491,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,30-34 years,30-34,654,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,35-39 years,35-39,826,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,40-44 years,40-44,1051,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,45-49 years,45-49,1275,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,50-54 years,50-54,1751,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,55-59 years,55-59,2506,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,60-64 years ,60-64,4080,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,65-69 years,65-69,5154,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,70-74 years,70-74,6002,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,75-79 years,75-79,7179,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,80-84 years,80-84,7533,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,85-89 years,85-89,7093,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,90-94 years,90-94,5589,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,95-99 years,95-99,2707,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,100+ years,100+,595,Not Applicable,Not Applicable
"2024 Week 22 ending June 01, 2024 (provisional)",2024/22,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,< 1 year,1,360,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,1-4 years,1-4,74,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,5-9 years,5-9,51,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,10-14 years,10-14,70,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,15-19 years,15-19,260,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,20-24 years,20-24,357,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,25-29 years,25-29,474,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,30-34 years,30-34,720,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,35-39 years,35-39,841,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,40-44 years,40-44,1057,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,45-49 years,45-49,1260,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,50-54 years,50-54,1823,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,55-59 years,55-59,2594,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,60-64 years ,60-64,4146,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,65-69 years,65-69,5299,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,70-74 years,70-74,6235,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,75-79 years,75-79,7188,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,80-84 years,80-84,7543,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,85-89 years,85-89,7404,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,90-94 years,90-94,5645,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,95-99 years,95-99,2770,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,100+ years,100+,634,Not Applicable,Not Applicable
"2024 Week 23 ending June 08, 2024 (provisional)",2024/23,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,< 1 year,1,396,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,1-4 years,1-4,76,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,5-9 years,5-9,64,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,10-14 years,10-14,50,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,15-19 years,15-19,219,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,20-24 years,20-24,332,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,25-29 years,25-29,477,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,30-34 years,30-34,602,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,35-39 years,35-39,823,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,40-44 years,40-44,996,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,45-49 years,45-49,1161,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,50-54 years,50-54,1845,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,55-59 years,55-59,2525,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,60-64 years ,60-64,4185,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,65-69 years,65-69,5436,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,70-74 years,70-74,6222,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,75-79 years,75-79,7435,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,80-84 years,80-84,7534,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,85-89 years,85-89,7059,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,90-94 years,90-94,5603,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,95-99 years,95-99,2700,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,100+ years,100+,613,Not Applicable,Not Applicable
"2024 Week 24 ending June 15, 2024 (provisional)",2024/24,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,< 1 year,1,353,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,1-4 years,1-4,79,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,5-9 years,5-9,56,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,10-14 years,10-14,55,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,15-19 years,15-19,235,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,20-24 years,20-24,392,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,25-29 years,25-29,451,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,30-34 years,30-34,685,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,35-39 years,35-39,861,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,40-44 years,40-44,1094,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,45-49 years,45-49,1143,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,50-54 years,50-54,1769,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,55-59 years,55-59,2511,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,60-64 years ,60-64,4039,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,65-69 years,65-69,5319,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,70-74 years,70-74,6248,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,75-79 years,75-79,7292,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,80-84 years,80-84,7744,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,85-89 years,85-89,7040,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,90-94 years,90-94,5460,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,95-99 years,95-99,2589,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,100+ years,100+,624,Not Applicable,Not Applicable
"2024 Week 25 ending June 22, 2024 (provisional)",2024/25,Not Stated,NS,Suppressed,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,< 1 year,1,377,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,1-4 years,1-4,79,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,5-9 years,5-9,62,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,10-14 years,10-14,60,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,15-19 years,15-19,247,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,20-24 years,20-24,391,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,25-29 years,25-29,429,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,30-34 years,30-34,666,Not Applicable,Not Applicable
"2024 Week 26 ending June 29, 2024 (provisional)",2024/26,35-39 years,35-39,890,Not Applicable,Not Applicable
