"Notes"	"Residence State"	"Residence State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 07 ending February 20, 2021"	"2021/07"	60	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 08 ending February 27, 2021"	"2021/08"	66	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 09 ending March 06, 2021"	"2021/09"	60	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 10 ending March 13, 2021"	"2021/10"	78	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 11 ending March 20, 2021"	"2021/11"	69	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 12 ending March 27, 2021"	"2021/12"	72	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 13 ending April 03, 2021"	"2021/13"	58	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 14 ending April 10, 2021"	"2021/14"	59	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 15 ending April 17, 2021"	"2021/15"	76	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 16 ending April 24, 2021"	"2021/16"	76	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 17 ending May 01, 2021"	"2021/17"	79	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 18 ending May 08, 2021"	"2021/18"	66	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 19 ending May 15, 2021"	"2021/19"	77	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 20 ending May 22, 2021"	"2021/20"	55	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 21 ending May 29, 2021"	"2021/21"	60	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 22 ending June 05, 2021"	"2021/22"	56	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 23 ending June 12, 2021"	"2021/23"	49	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 24 ending June 19, 2021"	"2021/24"	57	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 25 ending June 26, 2021"	"2021/25"	63	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 26 ending July 03, 2021"	"2021/26"	42	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 27 ending July 10, 2021"	"2021/27"	62	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 28 ending July 17, 2021"	"2021/28"	53	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 29 ending July 24, 2021"	"2021/29"	56	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 30 ending July 31, 2021"	"2021/30"	66	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 31 ending August 07, 2021"	"2021/31"	66	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 32 ending August 14, 2021"	"2021/32"	49	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 33 ending August 21, 2021"	"2021/33"	59	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 34 ending August 28, 2021"	"2021/34"	54	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 35 ending September 04, 2021"	"2021/35"	62	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 36 ending September 11, 2021"	"2021/36"	68	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 37 ending September 18, 2021"	"2021/37"	81	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 38 ending September 25, 2021"	"2021/38"	70	Not Applicable	Not Applicable
	"Maryland"	"24"	"55-59 years"	"55-59"	"2021 Week 39 ending October 02, 2021"	"2021/39"	77	Not Applicable	Not Applicable
