Strike ID,Date,Location,Province,Type of attack,Confirmed/possible US attack?,Air operation?,Drone strike,Minimum number of strikes,Maximum number of strikes,Minimum people killed,Maximum people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum people injured,Maximum people injured,Strike link,
YEM191,11/05/15,Mukalla,Hadramout,US drone strike,Confirmed,1,1,1,1,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM191,
YEM192,16/05/2015,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM192,
YEM193,22/05/2015,Unknown,Shabwa,US drone strike,Confirmed,1,1,1,1,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM193,
YEM194,02/06/15,Unknown,Jawf,AirstrikePossible US drone strike,Possible,1,1,1,1,5,20,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM194,
YEM195,09/06/15,Mukalla,Hadramout,US drone strike,Confirmed,1,1,1,1,3,3,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM195,
YEM196,25/06/2015,Mukalla,Hadramout,US drone strike,Confirmed,1,1,1,1,4,5,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM196,
YEM197,26/06/2015,Rafadh,Shabwa,AirstrikePossible US drone strike,Possible,1,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM197,
YEM198,26/06/2015,Mukalla,Hadramout,AirstrikePossible US drone strike,Possible,1,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM198,
YEM199,03/07/15,Mukalla,Hadramout,US drone strike,Confirmed,1,1,1,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM199,
YEM200,11/07/15,Mukalla,Hadramout,US drone strike,Confirmed,1,1,1,1,3,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/26/yemen-reported-us-covert-actions-2015/#YEM200,
