,Date,Location,Confirmed/possible US strike,Air strike?,Drone strike,Strike type,Minimum strikes,Maximum strikes,Minimum people killed,Maximum people killed,Minimum civilians killed,Maximum civilians killed,Minimum children killed,Maximum children killed,Minimum people injured,Maximum people injured
SOM052,20/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0
SOM053,21/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0
SOM054,28/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0
SOM055,29/07/2017,Southern Somalia,Confirmed,1,0,"Air operation - Somali ground force, US air support",1,1,0,0,0,0,0,0,0,0
SOM056,29/07/2017,"Tortoroow, Lower Shabelle",Confirmed,1,0,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0
SOM057,10/08/17,Banadiir region,Confirmed,1,0,Air operation - drone or airstrike,2,2,0,1,0,0,0,0,0,0
SOM058,16/08/2017,"Jillib, Middle Juba",Confirmed,1,0,"Air operation - drone or airstrike, US-Somali ground troops",1,1,7,7,0,7,0,0,0,0
SOM059,25/08/2017,"Bariire, Lower Shabelle region",Confirmed,0,0,Ground operation - Somali-led or joint operation,1,1,0,10,0,10,0,3,0,0
SOM060,31/08/2017,"Barawe, Lower Shabelle",Confirmed,1,1,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,1,1
SOM061,05/09/17,Bay region,Confirmed,1,0,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0
SOM062,07/09/17,"Barawe, Lower Shabelle",Confirmed,1,0,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0
SOM063,13/09/2017,Southern Somalia,Confirmed,1,0,Air operation - drone or airstrike,1,1,6,6,0,0,0,0,0,0
SOM064,30/09/2017,Southern Somalia,Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM065,02/10/17,Southern Somalia,Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM066,16/10/2017,"Bariire, Lower Shabelle region",Confirmed,1,1,Air operation - drone or airstrike,1,1,0,5,0,2,0,0,0,8
SOM067,03/11/17,"Qandala town, Puntland",Confirmed,1,0,Air operation - drone or airstrike,2,2,3,20,0,0,0,0,0,0
SOM068,09/11/17,Bay region,Confirmed,1,0,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0
SOM069,10/11/17,"Basra village, Lower Shabelle ",Confirmed,1,1,Air operation - drone or airstrike,1,1,13,13,0,3,0,0,0,0
SOM070,11/11/17,Gaduud,Confirmed,1,0,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0
SOM071,12/11/17,Lower Shabelle,Confirmed,1,0,Air operation - drone or airstrike,1,1,3,3,0,3,0,0,0,0
SOM072,12/11/17,Puntland,Confirmed,1,0,Air operation - drone or airstrike,1,1,23,23,0,0,0,0,0,0
SOM073,13/11/2017,"Awhiigle, Gaduud",Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM074,14/11/2017,"Idow Jalad, Lower Shabelle",Confirmed,1,0,Air operation - drone or airstrike,1,1,6,6,0,0,0,0,0,0
SOM075,21/11/2017,Bay region,Confirmed,1,0,Air operation - drone or airstrike,1,1,100,100,0,0,0,0,0,0
SOM076,27/11/2017,Northeastern,Confirmed,1,0,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0
SOM077,12/12/17,"Mubarak, Lower Shabelle",Confirmed,1,1,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM078,15/12/2017,30 miles northwest of Kismayo,Confirmed,1,1,Air operation - drone or airstrike,1,1,8,8,0,0,0,0,0,0
SOM079,24/12/2017,Southern Somalia,Confirmed,1,0,Air operation - drone or airstrike,1,1,13,13,0,0,0,0,0,0
SOM080,27/12/2017,25 kilometers west of Mogadishu,Confirmed,1,0,Air operation - drone or airstrike,1,1,4,4,0,0,0,0,0,0
SOM081,02/01/18,50 kilometers west of Mogadishu,Confirmed,1,0,Air operation - drone or airstrike,1,1,2,2,0,0,0,0,0,0
SOM082,18/01/2018,51 kilometers northwest of Kismayo,Confirmed,1,0,Air operation - drone or airstrike,1,1,4,4,0,0,0,0,0,0
SOM083,18/01/2018,Middle Shabelle region,Confirmed,0,0,Ground operation - Somali-led or joint operation,1,1,0,5,0,0,0,5,0,6
SOM084,06/02/18,"Kunyo Barrow, Lower Shabelle",Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM085,19/02/2018,"Jilib, Middle Juba Region",Confirmed,1,0,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0
SOM086,21/02/2018,"Jamaame, Lower Juba region",Confirmed,1,1,Air operation - drone or airstrike,1,1,4,5,0,2,0,0,0,0
SOM087,26/02/2018,"Jilib, Middle Juba Region",Confirmed,1,1,Air operation - drone or airstrike,1,1,2,2,0,0,0,0,1,1
SOM088,12/03/18,"Kamsuuma, Lower Juba region",Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM089,13/03/2018,"Jamecco, Middle Shabelle",Confirmed,1,0,Air operation - drone or airstrike,1,1,12,12,0,0,0,0,15,15
SOM090,19/03/2018,"Mubarak, Lower Shabelle",Confirmed,1,0,Air operation - drone or airstrike,1,1,2,2,0,0,0,0,3,3
SOM091,01/04/18,"El Burr, Galmudug",Confirmed,1,1,Air operation - drone or airstrike,1,1,6,6,2,2,1,1,0,0
SOM092,05/04/18,"Jilib, Middle Juba Region",Confirmed,1,0,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0
SOM093,11/04/18,"Jana Cabdalle, Kismayo",Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM094,16/04/2018,"Leego, Lower Shabelle ",Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM095,09/05/18,Lower Shabelle ,Confirmed,0,0,Ground operation - Somali-led operation,1,1,0,5,0,5,0,0,0,0
SOM096,23/05/2018,Lower Shabelle ,Confirmed,1,0,Air operation - drone or airstrike,1,1,10,10,0,0,0,0,0,0
SOM097,31/05/2018,30 miles southwest of Mogadishu,Confirmed,1,0,Air operation - drone or airstrike,1,1,12,12,0,0,0,0,0,0
SOM098,02/06/18,26 miles southwest of Bosasso,Confirmed,1,0,Air operation - drone or airstrike,1,1,27,27,0,0,0,0,0,0
SOM099,03/06/18,24 miles southwest of Bosasso,Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0
SOM100,08/06/18,Jubaland ,Confirmed,0,0,Ground operation,1,1,1,1,0,0,0,0,5,5
SOM101,23/07/2018,50 kilometres north of Kismayo,Confirmed,1,0,Air operation - drone or air strike,1,1,0,0,0,0,0,0,0,0
SOM102,02/08/18,74 miles northwest of Mogadishu,Confirmed,1,0,Air operation - drone or air strike,1,1,4,4,0,3,0,0,0,0
SOM103,21/08/2018,46 kilometres northeast of Kismayo,Confirmed,1,0,Air operation - drone or air strike,1,1,2,2,0,0,0,0,0,0
SOM104,27/08/2018,40 kilometers southwest of Mogadishu,Confirmed,1,0,Air operation - drone or air strike,1,1,3,3,0,0,0,0,0,0
SOM105,11/09/18,"Mubaraak, 37 miles west of Mogadishu",Confirmed,1,0,Air operation - drone or air strike,1,1,2,2,0,0,0,0,1,1
SOM106,21/09/2018,"50 kilometres northwest of Kismayo, Lower Juba",Confirmed,1,0,Air operation - drone or air strike,1,1,18,18,0,0,0,0,0,0
SOM107,01/10/18,40 kilometres northeast of Kismayo ,Confirmed,1,0,Air operation - drone or air strike,1,1,9,9,0,0,0,0,1,1
SOM108,06/10/18,"Near Kunya Barrow, Lower Shabelle ",Confirmed,1,0,Air operation - drone or air strike,1,1,1,1,0,0,0,0,0,0
SOM109,12/10/18,"Haradere, Galmudug",Confirmed,1,1,Air operation - drone or air strike,1,1,60,60,0,0,0,0,0,0
SOM110,14/10/2018,"Vicinity of Araara, Lower Juba region",Confirmed,1,0,Air operation - drone or air strike,1,1,4,4,0,0,0,0,0,0
SOM111,25/10/2018,Vicinity of Kunya Barrow ,Confirmed,1,0,Air operation - drone or air strike,1,1,2,2,0,0,0,0,0,0
SOM112,19/11/2018,Vicinity of Debatscile,Confirmed,1,1,Air operation - drone or air strike,1,1,27,27,0,0,0,0,0,0
SOM113,19/11/2018,Vicinity of Debatscile,Confirmed,1,1,Air operation - drone or air strike,1,1,10,10,0,0,0,0,0,0
SOM114,20/11/2018,"Vicinity of Quy Cad, Mudug",Confirmed,1,0,Air operation - drone or air strike,1,1,7,7,0,0,0,0,0,0
SOM115,21/11/2018,"Vicinity of Haradere, Galmudug",Confirmed,1,0,Air operation - drone or air strike,1,1,6,6,0,0,0,0,0,0
SOM116,21/11/2018,"Vicinity of Haradere, Galmudug",Confirmed,1,0,Air operation - drone or air strike,1,1,0,0,0,0,0,0,0,0
SOM117,27/11/2018,"Vicinity of Quy Cad, Near Debatscile, Mudug region",Confirmed,1,0,Air operation - drone or air strike,1,1,3,3,0,0,0,0,0,0
SOM118,30/11/2018,Near Lebede,Confirmed,1,0,Air operation - drone or air strike,1,1,9,9,0,0,0,0,0,0
SOM119,04/12/18,"Vicinity of Awdheegle, Lower Shabelle",Confirmed,1,0,Air operation - drone or air strike,1,1,4,4,0,0,0,0,0,0
SOM120,08/12/18,Vicinity of Basra,Confirmed,1,0,Air operation - drone or air strike,1,1,4,4,0,1,0,0,0,1
SOM121,15/12/2018,Vicinity of Gandarshe,Confirmed,1,0,Air operation - drone or air strike,4,4,34,34,0,0,0,0,0,0
SOM122,16/12/2018,Vicinity of Gandarshe,Confirmed,1,0,Air operation - drone or air strike,2,2,28,28,0,0,0,0,0,0
SOM123,19/12/2018,Vicinity of Beled Amin South​,Confirmed,1,0,Air operation - drone or air strike,2,2,11,11,0,0,0,0,0,0
SOM124,02/01/19,"Vicinity of Dheerow Sanle, Lower Shabelle",Confirmed,1,0,Air operation - drone or air strike,1,1,10,10,0,0,0,0,0,0
SOM125,06/01/19,"Vicinity of Dheerow Sanle, Lower Shabelle",Confirmed,1,0,Air operation - drone or air strike,1,1,6,6,0,0,0,0,0,0
SOM126,07/01/19,"Vicinity of Baqdaad, Lower Juba region​",Confirmed,1,0,Air operation - drone or air strike,2,2,4,4,0,0,0,0,0,0
SOM127,08/01/19,"Vicinity of Yaaq Braawe, Bay Region​",Confirmed,1,0,Air operation - drone or air strike,1,1,6,6,0,0,0,0,0,0
SOM128,19/01/2019,"Near Jilib, Middle Juba region",Confirmed,1,0,Air operation - drone or air strike,1,1,52,52,0,0,0,0,0,0
SOM129,23/01/2019,"Near Jilib, Middle Juba region",Confirmed,1,0,Air operation - drone or air strike,2,2,0,0,0,0,0,0,0,0
SOM130,30/01/2019,"Vicinity of Shebeeley, Hiran Region",Confirmed,1,0,Air operation - drone or air strike,1,1,24,24,0,0,0,0,0,0
SOM131,01/02/19,"Vicinity of Gandarshe, Lower Shabelle Region",Confirmed,1,0,Air operation - drone or air strike,1,1,13,13,0,0,0,0,0,0
